GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-de-judocas,org.fpij.jitakyoei.view,AlunoCadastrarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeAtualizarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,AlunoAtualizarView,46,0,0,0,11,0,3,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeBuscarView,164,0,2,0,35,0,10,0,9,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeCadastrarView.CadastrarActionHandler,31,0,0,0,8,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,AlunoBuscarView.BuscarActionHandler,10,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorCadastrarView.CadastrarActionHandler,66,0,2,0,15,0,3,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorBuscarView.BuscarActionHandler,16,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorAtualizarView,43,0,0,0,10,0,3,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeBuscarView.TableMouseClickedHandler,39,0,2,0,9,0,7,0,6,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorBuscarView,209,0,8,0,45,0,15,0,11,0
sistema-de-judocas,org.fpij.jitakyoei.view,MainAppView,408,0,8,0,118,0,31,0,27,0
sistema-de-judocas,org.fpij.jitakyoei.view,AlunoAtualizarView.AtualizarActionHandler,33,0,0,0,9,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,AlunoAtualizarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeAtualizarView,47,0,0,0,11,0,3,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorCadastrarView,42,0,0,0,10,0,3,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorCadastrarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,AlunoCadastrarView.CadastrarActionHandler,33,0,0,0,9,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeBuscarView.BuscarActionHandler,24,0,4,0,6,0,4,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorAtualizarView.AtualizarActionHandler,33,0,0,0,9,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorAtualizarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeCadastrarView,46,0,0,0,11,0,3,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.view,AlunoBuscarView,220,0,10,0,48,0,17,0,12,0
sistema-de-judocas,org.fpij.jitakyoei.view,ProfessorBuscarView.TableProfessoresMouseClickedHandler,34,0,0,0,8,0,6,0,6,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeCadastrarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,EntidadeAtualizarView.AtualizarActionHandler,31,0,0,0,8,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view,AlunoCadastrarView,46,0,0,0,11,0,3,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.facade,AppFacadeImpl,192,0,0,0,81,0,15,0,15,0
sistema-de-judocas,org.fpij.jitakyoei.util,CloseTabIcon,58,0,2,0,13,0,5,0,4,0
sistema-de-judocas,org.fpij.jitakyoei.util,DatabaseManager,20,27,9,3,6,11,9,5,3,5
sistema-de-judocas,org.fpij.jitakyoei.util,Main,130,0,4,0,36,0,5,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.util,CorFaixa,221,0,0,0,44,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.util,CloseTabIcon.new MouseAdapter() {...},31,0,4,0,6,0,4,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.util,FiliadoID,48,0,2,0,15,0,5,0,4,0
sistema-de-judocas,org.fpij.jitakyoei.view.forms,AlunoForm,165,0,4,0,50,0,13,0,11,0
sistema-de-judocas,org.fpij.jitakyoei.view.forms,CamposBuscaForm,28,0,0,0,9,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.forms,FiliadoForm,358,0,4,0,85,0,31,0,29,0
sistema-de-judocas,org.fpij.jitakyoei.view.forms,ProfessorForm.AdicionarEntidadeActionHandler,23,0,0,0,4,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view.forms,EntidadeForm,131,0,0,0,36,0,13,0,13,0
sistema-de-judocas,org.fpij.jitakyoei.view.forms,ProfessorForm,142,0,4,0,35,0,11,0,9,0
sistema-de-judocas,org.fpij.jitakyoei.view.forms,EnderecoForm,143,0,0,0,39,0,16,0,16,0
sistema-de-judocas,org.fpij.jitakyoei.view.forms,FiliadoForm.AdicionarFaixaActionHandler,29,0,0,0,4,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.business,ProfessorEntidadeBOImpl,55,0,2,0,18,0,4,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.business,ProfessorBOImpl,109,0,0,0,41,0,7,0,7,0
sistema-de-judocas,org.fpij.jitakyoei.business,AlunoBOImpl,122,0,2,0,46,0,8,0,7,0
sistema-de-judocas,org.fpij.jitakyoei.business,EntidadeBOImpl,107,0,0,0,41,0,7,0,7,0
sistema-de-judocas,org.fpij.jitakyoei.model.beans,Aluno,62,25,8,0,12,10,8,7,4,7
sistema-de-judocas,org.fpij.jitakyoei.model.beans,Rg,57,3,6,0,16,1,10,1,7,1
sistema-de-judocas,org.fpij.jitakyoei.model.beans,Entidade,79,15,6,0,22,7,14,4,11,4
sistema-de-judocas,org.fpij.jitakyoei.model.beans,ProfessorEntidade,60,0,6,0,16,0,10,0,7,0
sistema-de-judocas,org.fpij.jitakyoei.model.beans,Professor,48,20,6,0,10,6,8,3,5,3
sistema-de-judocas,org.fpij.jitakyoei.model.beans,Faixa,39,0,0,0,13,0,7,0,7,0
sistema-de-judocas,org.fpij.jitakyoei.model.beans,Endereco,54,26,0,0,8,12,7,7,7,7
sistema-de-judocas,org.fpij.jitakyoei.model.beans,Filiado,144,83,6,0,45,21,23,11,20,11
sistema-de-judocas,org.fpij.jitakyoei.view.gui,AlunoPanel,155,0,0,0,31,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,AlunoAtualizarPanel,145,0,0,0,30,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,ProfessorBuscarPanel,196,0,0,0,33,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,FiliadoPanel,711,0,0,0,135,0,17,0,17,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,AlunoBuscarPanel.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,ProfessorPanel,197,0,0,0,39,0,6,0,6,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,SobrePanel,31,0,0,0,8,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,MainAppFrame,911,0,0,0,173,0,6,0,6,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,MainAppFrame.new WindowAdapter() {...},16,0,0,0,5,0,3,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,EntidadeCadastrarPanel,122,0,0,0,26,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,Splash,31,0,0,0,8,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,EntidadePanel,210,0,0,0,43,0,7,0,7,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,ProfessorCadastrarPanel,166,0,0,0,34,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,AlunoBuscarPanel,244,0,2,0,50,0,11,0,10,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,BuscaCamposPanel,102,0,0,0,23,0,4,0,4,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,EnderecoPanel,281,0,0,0,56,0,8,0,8,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,ProfessorAtualizarPanel,145,0,0,0,30,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,EntidadeBuscarPanel,187,0,0,0,34,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,EntidadeAtualizarPanel,122,0,0,0,26,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,FiliadoPanel.new DefaultTableModel() {...},42,0,0,0,5,0,3,0,3,0
sistema-de-judocas,org.fpij.jitakyoei.view.gui,AlunoCadastrarPanel,145,0,0,0,30,0,5,0,5,0
sistema-de-judocas,org.fpij.jitakyoei.model.validator,AlunoValidator,5,0,0,0,2,0,2,0,2,0
sistema-de-judocas,org.fpij.jitakyoei.model.dao,DAOImpl.DefaultValidator,0,8,0,0,0,2,0,2,0,2
sistema-de-judocas,org.fpij.jitakyoei.model.dao,DAOImpl,51,96,7,7,16,29,7,9,2,7
